Sale ID,Date,Brand,Model,Price,Quantity,Total Sales,Customer Age,Gender,City,Payment Method,Storage,RAM,Rating
MS0278,45711,Apple,iPhone 15 Plus,78499,3,235497,46,Female,Hassan,Debit Card,128 GB,12 GB,4.8
MS0039,45712,Realme,GT 6,39499,1,39499,54,Female,Mangaluru,EMI,256 GB,6 GB,3.8
MS0357,45715,Oppo,Reno 11,28999,2,57998,41,Male,Belagavi,UPI,128 GB,16 GB,3.9
MS0437,45715,Apple,iPhone 13,48499,1,48499,26,Male,Hubballi,EMI,128 GB,8 GB,4.2
MS0445,45715,Realme,12 Pro+,29999,1,29999,26,Female,Dharwad,EMI,256 GB,12 GB,4.1
MS0403,45715,Apple,iPhone 13,49999,1,49999,29,Male,Belagavi,Credit Card,256 GB,12 GB,4.6
MS0031,45716,Realme,12 Pro,21999,1,21999,45,Male,Tumakuru,Credit Card,256 GB,6 GB,3.7
MS0263,45717,Samsung,Galaxy A35,28999,1,28999,29,Female,Hassan,Cash,256 GB,12 GB,4.4
MS0414,45717,Samsung,Galaxy A55,39999,1,39999,33,Male,Dharwad,UPI,256 GB,6 GB,4.5
MS0117,45719,Vivo,V30 Pro,44499,1,44499,22,Female,Tumakuru,Debit Card,512 GB,8 GB,3.8
MS0162,45719,Samsung,Galaxy S24,62999,1,62999,34,Male,Mangaluru,EMI,128 GB,8 GB,5
MS0398,45720,Vivo,Y28,13999,2,27998,31,Female,Shivamogga,Credit Card,128 GB,12 GB,3.3
MS0102,45720,Apple,iPhone 13,48999,3,146997,34,Female,Hassan,Credit Card,256 GB,8 GB,5
MS0139,45720,OnePlus,OnePlus 12R,41999,1,41999,28,Male,Tumakuru,Cash,256 GB,8 GB,3.8
MS0095,45722,Oppo,A79,16499,1,16499,52,Female,Belagavi,EMI,128 GB,8 GB,4.1
MS0159,45723,Samsung,Galaxy S24,64499,1,64499,38,Female,Bengaluru,UPI,128 GB,8 GB,4.9
MS0299,45725,Vivo,Y28,13499,1,13499,31,Male,Hubballi,EMI,128 GB,8 GB,3.7
MS0459,45726,Apple,iPhone 13,47999,1,47999,24,Female,Mangaluru,Debit Card,128 GB,8 GB,4.2
MS0470,45726,Realme,GT 6,37999,1,37999,22,Male,Shivamogga,Credit Card,128 GB,6 GB,3.5
MS0005,45729,Vivo,V30,32499,1,32499,52,Female,Mangaluru,Credit Card,128 GB,8 GB,4.8
MS0282,45732,Samsung,Galaxy M35,19499,2,38998,45,Female,Shivamogga,Debit Card,128 GB,12 GB,4.1
MS0463,45733,Xiaomi,Redmi Note 13,16999,2,33998,51,Male,Mysuru,EMI,256 GB,8 GB,4.5
MS0061,45738,Oppo,A79,14999,2,29998,21,Female,Hassan,EMI,128 GB,8 GB,3.4
MS0204,45738,Realme,GT 6,40999,1,40999,31,Female,Bengaluru,UPI,256 GB,8 GB,3.7
MS0104,45738,Samsung,Galaxy A55,39999,1,39999,39,Female,Mangaluru,UPI,256 GB,6 GB,3.8
MS0157,45743,Samsung,Galaxy S24,64999,1,64999,38,Male,Mysuru,EMI,512 GB,8 GB,3.4
MS0466,45743,Samsung,Galaxy A35,29999,1,29999,26,Male,Shivamogga,Credit Card,512 GB,6 GB,3.5
MS0012,45745,Oppo,A79,17999,2,35998,44,Female,Davangere,Debit Card,128 GB,8 GB,3.2
MS0454,45746,Apple,iPhone 15 Plus,76999,1,76999,41,Male,Bengaluru,Debit Card,256 GB,8 GB,3.2
MS0049,45746,OnePlus,Nord CE 4,24499,1,24499,27,Female,Dharwad,Credit Card,512 GB,6 GB,4.3
MS0057,45749,Vivo,V30,33999,1,33999,36,Female,Bengaluru,Debit Card,128 GB,8 GB,4
MS0389,45749,Xiaomi,Xiaomi 14,69999,1,69999,53,Male,Davangere,Cash,256 GB,8 GB,3.9
MS0436,45749,Vivo,V30 Pro,44999,1,44999,18,Female,Hassan,Cash,128 GB,12 GB,3.6
MS0472,45751,OnePlus,OnePlus 12R,41999,1,41999,33,Female,Tumakuru,UPI,128 GB,12 GB,4.8
MS0343,45752,OnePlus,OnePlus 12R,41499,1,41499,38,Male,Davangere,Debit Card,256 GB,16 GB,4.6
MS0450,45753,Apple,iPhone 15 Plus,78999,1,78999,40,Male,Dharwad,EMI,512 GB,6 GB,3.9
MS0144,45753,Oppo,Reno 11,29999,3,89997,22,Female,Tumakuru,Cash,128 GB,8 GB,3.4
MS0193,45753,Vivo,V30,32499,2,64998,19,Male,Tumakuru,Debit Card,512 GB,8 GB,4.1
MS0494,45753,Oppo,A79,17999,1,17999,36,Male,Mysuru,Debit Card,256 GB,6 GB,4.8
MS0234,45754,Xiaomi,Redmi Note 13,13999,1,13999,18,Female,Tumakuru,EMI,128 GB,8 GB,4.1
MS0321,45754,Oppo,Reno 11 Pro,39999,1,39999,49,Female,Hubballi,Credit Card,128 GB,6 GB,3.6
MS0230,45755,Vivo,Y28,14999,1,14999,44,Female,Hubballi,Credit Card,128 GB,6 GB,4.1
MS0289,45756,Xiaomi,Poco X6,21499,1,21499,38,Male,Dharwad,UPI,256 GB,8 GB,3.9
MS0272,45756,OnePlus,OnePlus 12R,41999,1,41999,54,Male,Mysuru,Debit Card,128 GB,6 GB,3.2
MS0257,45756,Xiaomi,Xiaomi 14,67999,1,67999,55,Male,Dharwad,UPI,256 GB,12 GB,3.3
MS0344,45756,OnePlus,OnePlus 12R,40999,1,40999,37,Female,Hubballi,Debit Card,512 GB,8 GB,4.1
MS0120,45756,Oppo,Reno 11,26999,1,26999,31,Female,Davangere,Cash,512 GB,16 GB,3.2
MS0336,45756,Oppo,A79,16999,1,16999,20,Female,Hubballi,EMI,128 GB,8 GB,3.5
MS0013,45757,Xiaomi,Redmi Note 13 Pro,25999,1,25999,18,Male,Shivamogga,Cash,128 GB,12 GB,3.6
MS0478,45757,Realme,12 Pro,21999,1,21999,24,Female,Belagavi,UPI,256 GB,8 GB,4.3
MS0488,45757,Xiaomi,Redmi Note 13 Pro,25999,1,25999,23,Female,Mysuru,Credit Card,128 GB,6 GB,3.9
MS0411,45758,Realme,12 Pro+,29499,1,29499,28,Female,Bengaluru,Cash,256 GB,12 GB,4.3
MS0202,45758,Samsung,Galaxy A35,28499,1,28499,22,Female,Hubballi,UPI,128 GB,8 GB,3.8
MS0126,45758,Vivo,Y200,21999,2,43998,55,Female,Mangaluru,Debit Card,256 GB,12 GB,4.6
MS0417,45760,Realme,Narzo 70,14499,1,14499,41,Male,Davangere,EMI,256 GB,8 GB,4.9
MS0001,45760,Realme,12 Pro+,29999,1,29999,44,Female,Tumakuru,Cash,128 GB,8 GB,4
MS0008,45760,Realme,Narzo 70,14999,1,14999,42,Female,Hassan,Cash,512 GB,12 GB,3.4
MS0369,45761,Vivo,Y200,22499,1,22499,26,Female,Bengaluru,Cash,128 GB,8 GB,3.6
MS0284,45761,Vivo,Y28,14499,2,28998,48,Female,Hassan,UPI,128 GB,8 GB,4.1
MS0066,45763,Apple,iPhone 13,49999,1,49999,55,Female,Bengaluru,EMI,256 GB,12 GB,3.6
MS0429,45763,Apple,iPhone 15 Plus,77999,1,77999,36,Female,Dharwad,Cash,128 GB,8 GB,4.8
MS0004,45764,Samsung,Galaxy A35,29999,1,29999,28,Male,Tumakuru,Cash,128 GB,16 GB,4.2
MS0166,45765,Realme,Narzo 70,13999,1,13999,28,Female,Bengaluru,Credit Card,128 GB,8 GB,4
MS0415,45765,Apple,iPhone 13,48999,2,97998,26,Female,Davangere,UPI,256 GB,12 GB,4.7
MS0288,45769,Realme,12 Pro,22999,1,22999,51,Male,Shivamogga,UPI,512 GB,6 GB,3.7
MS0262,45769,Xiaomi,Redmi Note 13 Pro,22999,1,22999,47,Male,Mysuru,EMI,128 GB,6 GB,3.7
MS0203,45770,Xiaomi,Xiaomi 14,69999,2,139998,18,Female,Belagavi,Debit Card,256 GB,8 GB,3.7
MS0283,45770,OnePlus,Nord CE 4,22999,2,45998,53,Female,Tumakuru,Credit Card,256 GB,8 GB,4
MS0196,45770,Realme,Narzo 70,12999,2,25998,55,Male,Bengaluru,EMI,256 GB,12 GB,3.8
MS0206,45770,Realme,12 Pro+,28999,1,28999,41,Female,Davangere,UPI,128 GB,12 GB,4.6
MS0201,45770,Vivo,Y28,12999,1,12999,38,Male,Mangaluru,Credit Card,128 GB,8 GB,4.5
MS0362,45771,Xiaomi,Poco X6,20499,1,20499,49,Male,Dharwad,Cash,128 GB,12 GB,4.1
MS0178,45773,Xiaomi,Redmi Note 13 Pro,22999,1,22999,53,Female,Hubballi,EMI,128 GB,8 GB,4
MS0346,45773,OnePlus,OnePlus 12,63499,1,63499,35,Female,Belagavi,Debit Card,128 GB,8 GB,4.4
MS0281,45773,Xiaomi,Xiaomi 14,66999,2,133998,22,Male,Mangaluru,Credit Card,256 GB,8 GB,3.6
MS0440,45774,Apple,iPhone 15,69999,1,69999,43,Male,Davangere,EMI,128 GB,8 GB,4.6
MS0452,45775,Xiaomi,Redmi Note 13,16999,3,50997,20,Female,Tumakuru,EMI,128 GB,6 GB,3.5
MS0433,45777,Realme,GT 6,40499,1,40499,36,Male,Mangaluru,Debit Card,256 GB,16 GB,4
MS0279,45777,Apple,iPhone 15,66999,1,66999,28,Male,Shivamogga,EMI,128 GB,6 GB,4.8
MS0177,45778,Oppo,A79,16499,2,32998,48,Female,Hubballi,UPI,256 GB,6 GB,4.5
MS0009,45779,Vivo,V30 Pro,42999,3,128997,22,Male,Belagavi,EMI,128 GB,6 GB,3.5
MS0446,45779,Apple,iPhone 14,58499,1,58499,46,Male,Hubballi,Debit Card,256 GB,6 GB,4.3
MS0225,45780,Oppo,F25 Pro,22999,1,22999,26,Male,Dharwad,Credit Card,256 GB,6 GB,3.9
MS0236,45781,Vivo,V30,31999,2,63998,44,Male,Mysuru,Debit Card,128 GB,8 GB,3.3
MS0428,45781,Realme,12 Pro,24499,2,48998,36,Female,Belagavi,Debit Card,256 GB,8 GB,3.6
MS0400,45782,Oppo,A79,17499,1,17499,35,Female,Bengaluru,Debit Card,128 GB,6 GB,4.2
MS0451,45783,Oppo,A79,17999,1,17999,45,Male,Tumakuru,Debit Card,256 GB,8 GB,4.4
MS0214,45783,Oppo,A79,14999,1,14999,18,Female,Belagavi,UPI,128 GB,6 GB,4.3
MS0366,45784,Apple,iPhone 13,46999,1,46999,25,Female,Davangere,Debit Card,256 GB,6 GB,4.6
MS0443,45784,OnePlus,Nord CE 4,21999,1,21999,54,Female,Bengaluru,Cash,128 GB,12 GB,4.7
MS0352,45785,Realme,12 Pro,21999,1,21999,48,Male,Mangaluru,Cash,128 GB,16 GB,4.7
MS0305,45785,Vivo,Y200,23999,2,47998,38,Male,Tumakuru,Cash,256 GB,8 GB,3.9
MS0249,45785,Apple,iPhone 15 Plus,78999,1,78999,41,Male,Dharwad,Cash,128 GB,12 GB,3.7
MS0171,45785,Oppo,F25 Pro,23999,1,23999,42,Female,Hassan,Credit Card,256 GB,12 GB,4.5
MS0253,45786,OnePlus,OnePlus 12,64499,2,128998,54,Male,Davangere,Credit Card,256 GB,12 GB,4.7
MS0100,45786,Samsung,Galaxy S24,62999,2,125998,24,Male,Hassan,Cash,512 GB,6 GB,4
MS0444,45786,Apple,iPhone 13,49499,2,98998,39,Female,Dharwad,Credit Card,256 GB,8 GB,3.9
MS0208,45787,Oppo,Reno 11,28999,1,28999,47,Male,Bengaluru,Cash,128 GB,8 GB,3.7
MS0215,45787,OnePlus,Nord 3,33999,1,33999,46,Male,Bengaluru,Debit Card,128 GB,8 GB,3.7
MS0016,45788,OnePlus,Nord 3,30999,1,30999,55,Female,Tumakuru,Cash,128 GB,6 GB,4.4
MS0276,45788,Oppo,Reno 11,29999,1,29999,30,Male,Davangere,Cash,128 GB,8 GB,4.9
MS0127,45788,OnePlus,OnePlus 12,62999,1,62999,24,Male,Hassan,UPI,128 GB,8 GB,4.5
MS0042,45788,OnePlus,OnePlus 12,64999,1,64999,18,Female,Dharwad,Cash,256 GB,6 GB,4.6
MS0163,45791,Xiaomi,Xiaomi 14,66999,2,133998,22,Male,Dharwad,Credit Card,128 GB,6 GB,4.9
MS0044,45792,Realme,Narzo 70,15499,1,15499,55,Male,Belagavi,UPI,128 GB,12 GB,3.9
MS0303,45792,Oppo,A79,16499,1,16499,19,Female,Hassan,Credit Card,256 GB,8 GB,4.2
MS0111,45792,Samsung,Galaxy A35,28999,2,57998,48,Female,Tumakuru,Cash,256 GB,12 GB,4.6
MS0101,45793,Oppo,Reno 11 Pro,38499,1,38499,37,Female,Shivamogga,UPI,128 GB,8 GB,3.8
MS0183,45794,Apple,iPhone 14,58999,1,58999,23,Male,Dharwad,Cash,128 GB,8 GB,4.9
MS0103,45796,Oppo,A79,16499,2,32998,55,Male,Tumakuru,Debit Card,128 GB,6 GB,3.6
MS0267,45797,Samsung,Galaxy A55,39499,1,39499,30,Male,Tumakuru,Cash,128 GB,8 GB,3.7
MS0387,45799,OnePlus,Nord 3,33999,2,67998,40,Male,Mysuru,Credit Card,512 GB,8 GB,3.6
MS0148,45800,Apple,iPhone 15,69499,2,138998,47,Female,Dharwad,Debit Card,256 GB,8 GB,3.3
MS0388,45800,OnePlus,Nord 3,32499,1,32499,31,Female,Belagavi,Cash,128 GB,8 GB,4.9
MS0426,45801,Xiaomi,Poco X6,19999,2,39998,21,Male,Dharwad,Debit Card,256 GB,8 GB,3.5
MS0465,45801,Apple,iPhone 15 Plus,78499,1,78499,48,Female,Davangere,UPI,128 GB,8 GB,3.9
MS0233,45801,Vivo,V30 Pro,45999,2,91998,20,Female,Mysuru,EMI,128 GB,6 GB,3.8
MS0260,45801,Vivo,V30,30999,2,61998,34,Female,Davangere,Debit Card,128 GB,8 GB,4.2
MS0432,45802,OnePlus,Nord 3,31999,1,31999,28,Female,Dharwad,UPI,128 GB,6 GB,4.3
MS0493,45804,Oppo,F25 Pro,20999,1,20999,51,Male,Mysuru,Credit Card,128 GB,8 GB,3.5
MS0431,45804,OnePlus,OnePlus 12,63999,1,63999,33,Male,Shivamogga,EMI,256 GB,8 GB,4.4
MS0273,45804,Oppo,A79,15999,1,15999,51,Male,Hassan,Credit Card,512 GB,8 GB,4.7
MS0244,45804,Realme,GT 6,38999,1,38999,40,Male,Mysuru,Cash,128 GB,6 GB,3.8
MS0325,45804,OnePlus,Nord CE 4,22999,3,68997,18,Male,Bengaluru,Debit Card,128 GB,8 GB,4.2
MS0245,45805,OnePlus,OnePlus 12R,40999,2,81998,51,Male,Hubballi,Debit Card,256 GB,8 GB,3.4
MS0241,45805,Apple,iPhone 13,46999,1,46999,20,Female,Davangere,Credit Card,256 GB,8 GB,4.7
MS0401,45807,Oppo,Reno 11,27999,1,27999,29,Female,Mangaluru,Credit Card,128 GB,8 GB,4.2
MS0017,45807,Apple,iPhone 13,48499,1,48499,53,Female,Dharwad,UPI,128 GB,8 GB,4.3
MS0365,45808,Xiaomi,Xiaomi 14,68499,2,136998,37,Female,Bengaluru,Cash,128 GB,8 GB,3.4
MS0255,45808,Samsung,Galaxy S24,63999,1,63999,54,Female,Bengaluru,EMI,128 GB,8 GB,4.8
MS0190,45809,Oppo,Reno 11 Pro,38999,1,38999,38,Male,Mysuru,UPI,256 GB,8 GB,3.9
MS0277,45809,OnePlus,OnePlus 12,64999,2,129998,20,Female,Mangaluru,EMI,128 GB,6 GB,4
MS0015,45809,Xiaomi,Redmi Note 13,15999,1,15999,31,Male,Bengaluru,EMI,256 GB,8 GB,4.5
MS0290,45810,Samsung,Galaxy A35,27999,1,27999,49,Male,Dharwad,UPI,128 GB,6 GB,4.7
MS0396,45810,Oppo,F25 Pro,20999,1,20999,28,Male,Davangere,Debit Card,512 GB,6 GB,4
MS0464,45811,OnePlus,OnePlus 12,63499,1,63499,51,Female,Tumakuru,Credit Card,128 GB,8 GB,4.3
MS0367,45812,Vivo,Y28,13499,2,26998,34,Female,Belagavi,EMI,256 GB,8 GB,4.7
MS0092,45814,Apple,iPhone 13,49999,1,49999,34,Female,Mysuru,Cash,128 GB,12 GB,3.4
MS0310,45815,OnePlus,OnePlus 12,63999,1,63999,50,Male,Mysuru,Credit Card,256 GB,8 GB,4.1
MS0333,45815,OnePlus,Nord CE 4,23499,1,23499,23,Male,Davangere,UPI,128 GB,8 GB,4
MS0430,45815,OnePlus,Nord 3,31999,1,31999,28,Male,Mangaluru,UPI,256 GB,12 GB,3.8
MS0269,45817,OnePlus,Nord 3,33999,3,101997,44,Female,Davangere,EMI,512 GB,8 GB,4.9
MS0153,45817,Apple,iPhone 15,68499,1,68499,40,Male,Shivamogga,Debit Card,128 GB,12 GB,3.7
MS0192,45817,Realme,GT 6,40999,1,40999,39,Male,Tumakuru,EMI,256 GB,6 GB,3.7
MS0219,45817,Xiaomi,Xiaomi 14,68999,2,137998,29,Male,Bengaluru,EMI,256 GB,16 GB,4.5
MS0349,45818,Oppo,Reno 11 Pro,38999,1,38999,47,Male,Mysuru,EMI,256 GB,8 GB,3.3
MS0280,45818,Vivo,V30,30999,1,30999,28,Female,Hubballi,EMI,256 GB,12 GB,3.7
MS0298,45818,OnePlus,OnePlus 12,64499,1,64499,36,Female,Hassan,Debit Card,128 GB,8 GB,4.9
MS0024,45818,Realme,12 Pro,23999,2,47998,31,Female,Hubballi,Cash,512 GB,8 GB,4.3
MS0072,45819,Realme,12 Pro,22999,2,45998,47,Female,Mysuru,Cash,128 GB,6 GB,4.9
MS0105,45820,Apple,iPhone 15,69999,1,69999,50,Male,Mangaluru,Credit Card,128 GB,6 GB,4.2
MS0295,45820,Oppo,F25 Pro,20999,1,20999,27,Male,Mangaluru,Cash,256 GB,8 GB,4.7
MS0185,45822,Oppo,F25 Pro,22999,2,45998,26,Male,Mangaluru,Debit Card,128 GB,12 GB,3.5
MS0047,45824,Oppo,A79,16499,2,32998,27,Male,Dharwad,EMI,128 GB,12 GB,3.4
MS0297,45826,Samsung,Galaxy S24,64999,1,64999,22,Male,Bengaluru,UPI,128 GB,12 GB,4.3
MS0160,45827,Apple,iPhone 13,49999,1,49999,38,Female,Belagavi,Credit Card,128 GB,8 GB,3.6
MS0374,45827,Samsung,Galaxy S24,64499,1,64499,36,Female,Hubballi,Debit Card,256 GB,6 GB,5
MS0032,45827,Realme,12 Pro,21999,1,21999,35,Female,Dharwad,Debit Card,128 GB,6 GB,4.5
MS0407,45827,Oppo,Reno 11 Pro,36999,2,73998,37,Male,Mangaluru,Credit Card,128 GB,6 GB,4.5
MS0149,45828,Vivo,Y200,23999,1,23999,35,Female,Mangaluru,Credit Card,256 GB,12 GB,3.4
MS0189,45829,Realme,12 Pro+,28499,1,28499,51,Female,Davangere,Debit Card,128 GB,12 GB,4.2
MS0121,45829,Apple,iPhone 15,68499,2,136998,48,Female,Mysuru,Cash,256 GB,6 GB,3.4
MS0331,45829,OnePlus,OnePlus 12R,41499,1,41499,45,Male,Mysuru,EMI,128 GB,6 GB,4.2
MS0217,45829,Oppo,Reno 11 Pro,39499,2,78998,26,Female,Hassan,UPI,256 GB,6 GB,3.8
MS0383,45830,Realme,12 Pro+,27999,1,27999,45,Female,Shivamogga,Credit Card,128 GB,8 GB,3.3
MS0360,45831,Samsung,Galaxy A35,28499,1,28499,24,Male,Hubballi,Credit Card,128 GB,8 GB,3.9
MS0036,45832,Xiaomi,Redmi Note 13 Pro,25999,1,25999,48,Female,Belagavi,UPI,128 GB,8 GB,3.9
MS0372,45833,Samsung,Galaxy S24,64999,1,64999,38,Male,Mysuru,Debit Card,256 GB,8 GB,4.4
